2025-04-02 10:00:10,680 INFO: Load model weights from ga_optimized_weights.pth 
2025-04-02 10:00:11,721 INFO: ====================Start training===================== 
2025-04-02 10:26:44,912 INFO: Epoch 78, Val_Loss: 0.9717 
2025-04-02 10:27:05,222 INFO: Epoch 79, Val_Loss: 0.8927 
2025-04-02 10:27:25,645 INFO: Epoch 80, Val_Loss: 1.1759 
2025-04-02 10:27:45,755 INFO: Epoch 81, Val_Loss: 0.8721 
2025-04-02 10:28:06,891 INFO: Epoch 82, Val_Loss: 0.9864 
2025-04-02 10:28:38,763 INFO: Epoch 83, Val_Loss: 0.9921 
2025-04-02 10:29:06,846 INFO: Epoch 84, Val_Loss: 1.0873 
2025-04-02 10:29:32,801 INFO: Epoch 85, Val_Loss: 0.9142 
2025-04-02 10:29:59,406 INFO: Epoch 86, Val_Loss: 0.8992 
2025-04-02 10:30:24,705 INFO: Epoch 87, Val_Loss: 0.8580 
2025-04-02 10:30:49,711 INFO: Epoch 88, Val_Loss: 1.0291 
2025-04-02 10:31:12,316 INFO: Epoch 89, Val_Loss: 0.9177 
2025-04-02 10:31:37,986 INFO: Epoch 90, Val_Loss: 0.8786 
2025-04-02 10:32:02,389 INFO: Epoch 91, Val_Loss: 0.9531 
2025-04-02 10:32:25,926 INFO: Epoch 92, Val_Loss: 0.8907 
2025-04-02 10:32:50,881 INFO: Epoch 93, Val_Loss: 0.8611 
2025-04-02 10:33:16,331 INFO: Epoch 94, Val_Loss: 0.9241 
2025-04-02 10:33:38,827 INFO: Epoch 95, Val_Loss: 1.0098 
2025-04-02 10:34:04,308 INFO: Epoch 96, Val_Loss: 0.8854 
2025-04-02 10:34:33,575 INFO: Epoch 97, Val_Loss: 0.8731 
2025-04-02 10:34:57,291 INFO: Epoch 98, Val_Loss: 0.9032 
2025-04-02 10:35:23,890 INFO: Epoch 99, Val_Loss: 0.9722 
2025-04-02 10:35:46,660 INFO: Epoch 100, Val_Loss: 0.8480 
2025-04-02 10:36:16,275 INFO: Epoch 101, Val_Loss: 0.8728 
2025-04-02 10:36:45,799 INFO: Epoch 102, Val_Loss: 0.8940 
2025-04-02 10:37:08,315 INFO: Epoch 103, Val_Loss: 0.8750 
2025-04-02 10:37:29,539 INFO: Epoch 104, Val_Loss: 1.0605 
2025-04-02 10:37:53,408 INFO: Epoch 105, Val_Loss: 0.9390 
2025-04-02 10:38:19,535 INFO: Epoch 106, Val_Loss: 0.8762 
2025-04-02 10:38:58,921 INFO: Epoch 107, Val_Loss: 0.9343 
2025-04-02 10:39:28,943 INFO: Epoch 108, Val_Loss: 0.8808 
2025-04-02 10:39:52,603 INFO: Epoch 109, Val_Loss: 0.8577 
2025-04-02 10:40:14,228 INFO: Epoch 110, Val_Loss: 0.9444 
2025-04-02 10:40:34,801 INFO: Epoch 111, Val_Loss: 1.4363 
2025-04-02 10:40:57,245 INFO: Epoch 112, Val_Loss: 1.0291 
2025-04-02 10:41:22,569 INFO: Epoch 113, Val_Loss: 1.0049 
2025-04-02 10:41:53,772 INFO: Epoch 114, Val_Loss: 0.9880 
2025-04-02 10:42:18,204 INFO: Epoch 115, Val_Loss: 0.9347 
2025-04-02 10:42:43,064 INFO: Epoch 116, Val_Loss: 0.8676 
2025-04-02 10:43:07,994 INFO: Epoch 117, Val_Loss: 0.8598 
2025-04-02 10:43:30,828 INFO: Epoch 118, Val_Loss: 1.0724 
2025-04-02 10:43:53,042 INFO: Epoch 119, Val_Loss: 0.8798 
2025-04-02 10:44:17,727 INFO: Epoch 120, Val_Loss: 0.8790 
2025-04-02 10:44:38,831 INFO: Epoch 121, Val_Loss: 0.8841 
2025-04-02 10:45:01,119 INFO: Epoch 122, Val_Loss: 0.9856 
2025-04-02 10:45:24,146 INFO: Epoch 123, Val_Loss: 0.9900 
2025-04-02 10:45:47,608 INFO: Epoch 124, Val_Loss: 0.9862 
2025-04-02 10:46:13,908 INFO: Epoch 125, Val_Loss: 0.9510 
2025-04-02 10:46:41,205 INFO: Epoch 126, Val_Loss: 0.9246 
2025-04-02 10:47:05,423 INFO: Epoch 127, Val_Loss: 0.9144 
2025-04-02 10:47:27,649 INFO: Epoch 128, Val_Loss: 1.0036 
2025-04-02 10:47:50,162 INFO: Epoch 129, Val_Loss: 0.9429 
2025-04-02 10:48:13,869 INFO: Epoch 130, Val_Loss: 0.8613 
2025-04-02 10:48:34,985 INFO: Epoch 131, Val_Loss: 0.8705 
2025-04-02 10:48:57,484 INFO: Epoch 132, Val_Loss: 0.8695 
2025-04-02 10:49:20,251 INFO: Epoch 133, Val_Loss: 0.9459 
2025-04-02 10:49:42,345 INFO: Epoch 134, Val_Loss: 0.8846 
2025-04-02 10:50:04,111 INFO: Epoch 135, Val_Loss: 0.8595 
2025-04-02 10:50:26,928 INFO: Epoch 136, Val_Loss: 0.8520 
2025-04-02 10:50:50,482 INFO: Epoch 137, Val_Loss: 0.8652 
2025-04-02 10:51:14,571 INFO: Epoch 138, Val_Loss: 0.9400 
