2025-04-01 12:42:40,907 INFO: Start GA optimization 
2025-04-01 21:16:06,391 INFO: GA optimization finished 
2025-04-01 21:16:06,437 INFO: ====================Start training===================== 
2025-04-01 21:39:37,199 INFO: Epoch 77, Val_Loss: 0.9392 
2025-04-01 21:39:53,774 INFO: Epoch 78, Val_Loss: 0.9475 
2025-04-01 21:40:10,484 INFO: Epoch 79, Val_Loss: 0.8891 
2025-04-01 21:40:27,244 INFO: Epoch 80, Val_Loss: 0.9288 
2025-04-01 21:40:45,545 INFO: Epoch 81, Val_Loss: 1.0193 
2025-04-01 21:41:02,226 INFO: Epoch 82, Val_Loss: 0.8967 
2025-04-01 21:41:19,033 INFO: Epoch 83, Val_Loss: 0.8789 
2025-04-01 21:41:35,683 INFO: Epoch 84, Val_Loss: 0.9767 
2025-04-01 21:41:52,209 INFO: Epoch 85, Val_Loss: 0.8814 
2025-04-01 21:42:10,711 INFO: Epoch 86, Val_Loss: 0.8816 
2025-04-01 21:42:27,307 INFO: Epoch 87, Val_Loss: 1.0009 
2025-04-01 21:42:43,840 INFO: Epoch 88, Val_Loss: 1.0168 
2025-04-01 21:43:00,567 INFO: Epoch 89, Val_Loss: 0.8803 
2025-04-01 21:43:17,083 INFO: Epoch 90, Val_Loss: 0.9054 
2025-04-01 21:43:33,688 INFO: Epoch 91, Val_Loss: 0.9074 
2025-04-01 21:43:51,270 INFO: Epoch 92, Val_Loss: 0.8706 
2025-04-01 21:44:08,607 INFO: Epoch 93, Val_Loss: 0.9025 
2025-04-01 21:44:28,837 INFO: Epoch 94, Val_Loss: 1.1073 
2025-04-01 21:44:48,273 INFO: Epoch 95, Val_Loss: 0.9171 
2025-04-01 21:45:07,721 INFO: Epoch 96, Val_Loss: 0.9759 
2025-04-01 21:45:24,258 INFO: Epoch 97, Val_Loss: 0.9048 
2025-04-01 21:45:41,168 INFO: Epoch 98, Val_Loss: 0.8903 
2025-04-01 21:45:57,694 INFO: Epoch 99, Val_Loss: 0.8929 
2025-04-01 21:45:57,694 INFO: ====================End training===================== 
